audit_id,incident_id,recommendation,reason,source_data,agent_responsible,approval_requirement,final_outcome,timestamp
AUD-6001,CASE-1001,Activate incident bridge,Severity Critical with 5200 affected users and SLA risk Yes.,incidents.csv:CASE-1001; escalation_rules.csv:RULE-3001; resources.csv:TEAM-A,CrisisOps Orchestrator,Yes,Pending approval,2026-06-11T11:00:00
AUD-6002,CASE-1002,Escalate to vendor manager,Severity High with 900 affected users and SLA risk Yes.,incidents.csv:CASE-1002; escalation_rules.csv:RULE-3002; resources.csv:TEAM-B,Crisis Classifier Agent,Yes,Approved and actioned,2026-06-11T11:11:00
AUD-6003,CASE-1003,Issue customer holding notice,Severity High with 2400 affected users and SLA risk Yes.,incidents.csv:CASE-1003; escalation_rules.csv:RULE-3003; resources.csv:TEAM-C,Operations Planner Agent,Yes,Escalated for human review,2026-06-11T11:22:00
AUD-6004,CASE-1004,Request compliance review,Severity Medium with 120 affected users and SLA risk No.,incidents.csv:CASE-1004; escalation_rules.csv:RULE-3004; resources.csv:TEAM-D,Compliance Agent,Yes,Rejected and revised,2026-06-11T11:33:00
AUD-6005,CASE-1005,Contain suspicious access,Severity Critical with 1800 affected users and SLA risk Yes.,incidents.csv:CASE-1005; escalation_rules.csv:RULE-3005; resources.csv:TEAM-E,Communications Agent,Yes,Monitoring,2026-06-11T11:44:00
AUD-6006,CASE-1006,Rebaseline project plan,Severity Medium with 350 affected users and SLA risk No.,incidents.csv:CASE-1006; escalation_rules.csv:RULE-3006; resources.csv:TEAM-F,Safety & Verifier Agent,No,Pending approval,2026-06-11T11:55:00
AUD-6007,CASE-1007,Reallocate field resources,Severity High with 700 affected users and SLA risk Yes.,incidents.csv:CASE-1007; escalation_rules.csv:RULE-3007; resources.csv:TEAM-A,CrisisOps Orchestrator,Yes,Approved and actioned,2026-06-11T12:06:00
AUD-6008,CASE-1008,Trigger SLA breach workflow,Severity High with 1100 affected users and SLA risk Yes.,incidents.csv:CASE-1008; escalation_rules.csv:RULE-3008; resources.csv:TEAM-B,Crisis Classifier Agent,Yes,Escalated for human review,2026-06-11T12:17:00
AUD-6009,CASE-1009,Activate incident bridge,Severity Low with 250 affected users and SLA risk No.,incidents.csv:CASE-1009; escalation_rules.csv:RULE-3009; resources.csv:TEAM-C,Operations Planner Agent,No,Rejected and revised,2026-06-11T12:28:00
AUD-6010,CASE-1010,Escalate to vendor manager,Severity Medium with 430 affected users and SLA risk No.,incidents.csv:CASE-1010; escalation_rules.csv:RULE-3010; resources.csv:TEAM-D,Compliance Agent,No,Monitoring,2026-06-11T12:39:00
AUD-6011,CASE-1011,Issue customer holding notice,Severity Critical with 6200 affected users and SLA risk Yes.,incidents.csv:CASE-1011; escalation_rules.csv:RULE-3011; resources.csv:TEAM-E,Communications Agent,Yes,Pending approval,2026-06-11T12:50:00
AUD-6012,CASE-1012,Request compliance review,Severity High with 850 affected users and SLA risk Yes.,incidents.csv:CASE-1012; escalation_rules.csv:RULE-3012; resources.csv:TEAM-F,Safety & Verifier Agent,Yes,Approved and actioned,2026-06-11T13:01:00
AUD-6013,CASE-1013,Contain suspicious access,Severity Medium with 90 affected users and SLA risk No.,incidents.csv:CASE-1013; escalation_rules.csv:RULE-3013; resources.csv:TEAM-A,CrisisOps Orchestrator,Yes,Escalated for human review,2026-06-11T13:12:00
AUD-6014,CASE-1014,Rebaseline project plan,Severity Low with 210 affected users and SLA risk No.,incidents.csv:CASE-1014; escalation_rules.csv:RULE-3014; resources.csv:TEAM-B,Crisis Classifier Agent,No,Rejected and revised,2026-06-11T13:23:00
AUD-6015,CASE-1015,Reallocate field resources,Severity High with 780 affected users and SLA risk Yes.,incidents.csv:CASE-1015; escalation_rules.csv:RULE-3015; resources.csv:TEAM-C,Operations Planner Agent,Yes,Monitoring,2026-06-11T13:34:00
AUD-6016,CASE-1016,Trigger SLA breach workflow,Severity Critical with 3000 affected users and SLA risk Yes.,incidents.csv:CASE-1016; escalation_rules.csv:RULE-3016; resources.csv:TEAM-D,Compliance Agent,Yes,Pending approval,2026-06-11T13:45:00
AUD-6017,CASE-1017,Activate incident bridge,Severity Medium with 600 affected users and SLA risk No.,incidents.csv:CASE-1017; escalation_rules.csv:RULE-3017; resources.csv:TEAM-E,Communications Agent,No,Approved and actioned,2026-06-11T13:56:00
AUD-6018,CASE-1018,Escalate to vendor manager,Severity High with 500 affected users and SLA risk Yes.,incidents.csv:CASE-1018; escalation_rules.csv:RULE-3018; resources.csv:TEAM-F,Safety & Verifier Agent,Yes,Escalated for human review,2026-06-11T14:07:00
AUD-6019,CASE-1019,Issue customer holding notice,Severity Low with 75 affected users and SLA risk No.,incidents.csv:CASE-1019; escalation_rules.csv:RULE-3019; resources.csv:TEAM-A,CrisisOps Orchestrator,No,Rejected and revised,2026-06-11T14:18:00
AUD-6020,CASE-1020,Request compliance review,Severity Medium with 160 affected users and SLA risk No.,incidents.csv:CASE-1020; escalation_rules.csv:RULE-3020; resources.csv:TEAM-B,Crisis Classifier Agent,No,Monitoring,2026-06-11T14:29:00
